outlet name,City ,State,lat,lon
Toyota 3S Panglima City Motor,Telok Panglima Garang,Selangor,2.94184,101.47269
Toyota Sungai Rasah 4S | PCM Group - Sales,Klang,Selangor,3.05792,101.48745
Toyota Puchong 4S | PCM Group - Sales,Puchong,Selangor,3.03949,101.60295
PCM Semenyih Motor Sdn Bhd,Semenyih,Selangor,2.92772,101.85784
Toyota Pandamaran 3S | PCM Group - Sales & Service,Pelabuhan Klang,Selangor,3.01674,101.42042
Toyota Subang Jaya 4S | PCM Group - Sales,Subang Jaya,Selangor,3.08085,101.58119
Toyota Banting 3S | PCM Group - Sales and Service,Banting,Selangor,2.81126,101.50479
Toyota Kelana Jaya | Unitedstar Corporation (PCM Group),Petaling Jaya,Selangor,3.10969,101.59538
UMW Toyotsu Motors Sdn Bhd - Toyota,Shah Alam,Selangor,3.06357,101.52354
UMW Toyota Rawang,Rawang,Selangor,3.30515,101.54594
Toyota 3S - Quayside Mall,Telok Panglima Garang,Selangor,2.95669,101.55312
Distinctive Model - Toyota Service Centre Sungai Buloh,Sungai Buloh,Selangor,3.18804,101.57821
Toyota Cyberjaya OSSB,Cyberjaya,Selangor,2.91984,101.63345
TOYOTA BANGI SHOWROOM SEKSYEN 7 - Magna Viable Sdn Bhd,Bandar Baru Bangi,Selangor,2.97031,101.77328
PCM Klang Motor Sdn. Bhd. - Toyota Body & Paint Kapar,Klang,Selangor,3.09655,101.38872
Toyota Subang G-Mart Motor 4S Center.,Shah Alam,Selangor,3.16018,101.53178
Toyota Kuala Selangor - Target Orion Corporation Sdn Bhd,Kuala Selangor,Selangor,3.30687,101.28337
Toyota Cheras 4S Centre - Fokus Sentral Sdn Bhd,Cheras,Kuala Lumpur,3.10359,101.73425
Toyota Setia Alam - Fokus Tetap Sdn. Bhd.,Shah Alam,Selangor,3.10919,101.44947
TOYOTA SERVICE CENTER CHERAS BATU 10 PDC AUTOMOBILE SDN BHD,Cheras,Kuala Lumpur,3.05295,101.77348
Toyota Balakong - Wing Hin Automobile 4S Centre (Service Centre),Seri Kembangan,Selangor,3.02808,101.75127
Toyota Pandan Indah - Wing Hin Motor Sdn Bhd (Service Centre),Ampang,Selangor,3.13476,101.75892
Toyota Wangsa Maju - Motozoom Sdn Bhd (Service Centre),Kuala Lumpur,Kuala Lumpur,3.1979,101.72704
Toyota Section 19 - Laser Motor PJ,Petaling Jaya,Selangor,3.11192,101.63222
Toyota Jalan 217 Petaling Jaya - Laser Motor 4S,Petaling Jaya,Selangor,3.09476,101.63522
"Toyota Petaling Utama (Sales,Service & Topmark) - Laser Motor Services",Petaling Jaya,Selangor,3.07958,101.65062
Toyota Puchong - Unihub Auto,Puchong,Selangor,3.04183,101.619
Toyota Kajang 3S,Kajang,Selangor,2.98486,101.81438
Toyota Sungai Besi-MTR Automobile Corporation Sdn Bhd,Sungai Besi,Kuala Lumpur,3.11903,101.70885
Toyota Wheelcorp Old Klang Road,Kuala Lumpur,Kuala Lumpur,3.10808,101.67871
Toyota Kepong - Wheelcorp Sdn Bhd 3S,Kepong,Kuala Lumpur,3.21515,101.64679
Toyota Setapak 3S (Roda Express Auto Sdn Bhd),Setapak,Kuala Lumpur,3.19793,101.71449
